image_id,disease,location,organ
17506892_F1,Behavioral variant of Frontotemporal Dementia,,
17506892_F1,Semantic Dementia,,
17506892_F1,Progressive Non-Fluent Aphasia,,
17506892_F1,Progressive Supranuclear Palsy,,
17506892_F1,Corticobasal Degeneration,,
16734899_F4,Large cavitating lesion,right upper lobe,chest
16734899_F4,Pleural involvement,,chest
16734899_F4,Extension into the chest wall,,chest
16734899_F4,Right hilar lymphadenopathy,right hilar region,chest
17506892_F3,FTLD,Hypoperfusion,Brain
18021452_F4,carcinoid tumor,subserosa,small bowel
16734910_F1,concha bellosa,middle meatus region,sinuses
16734910_F1,ostiomeatal complex blockage,,sinuses
18627621_F2,Cardiomegaly,,Heart
18627621_F2,Interstitial lung disease,,Lungs
18627621_F2,Pleural effusion,right side,Pleura
18021452_F5,...,...,...
16774682_F2,,neural foramen,rib
24564961_F2,,,brain
19108034_F1,Heart Failure,,Lungs
19108034_F1,Interstitial Lung Disease, lung tissue,Lungs
17999758_F8,liver steatosis,hepatocytes,Liver
16606471_F2,,,
24564857_F9,No information,,hind limb
18784452_F1,Diffuse effusion,,Lungs
18784452_F1,Pleural thickening,left side,Chest
18673510_F1,,,bone marrow
16792809_F1,Primary Tumor,,Abdomen
24914775_pone-0098860-g005,,under the dura,Brain
18673510_F2,Chicken Anemia Virus (CAV),,Bone marrow
16792809_F3,local recurrence,,Abdomen
24940083_f2-imcrj-7-093,edema,"patchy, low-intensity areas",sacrum
16792809_F4,malignant disease,,liver
24932044_F2,medullary cysticercum,lateral femoral condyle,femur
18489739_F1,pancreatic pseudocarcinoma,,pancreas
25678909_jgc-12-01-088-g001,Cardiomegaly,,Heart
25678909_jgc-12-01-088-g001,Calcification,Thoracic,Aorta
25678909_jgc-12-01-088-g001,Calcification,Solar plexus,Abdomen
25678909_jgc-12-01-088-g001,Extensive Calcification,,Aorta
25678909_jgc-12-01-088-g001,Ascending Aortic Aneurysm,,Aorta
18474093_F1,mechanical bowel obstruction,,abdomen
18474093_F1,diffuse liver focal lesions,,liver
25678909_jgc-12-01-088-g002,Calcification,,Aorta/Arteries
25678909_jgc-12-01-088-g002,Calcific innominate artery,Black arrow,Aorta
25678909_jgc-12-01-088-g002,Calcific coronary artery,Black arrowheads,Coronary
25561223_ijms-16-00660-f002,Lung Inflammation,,Lung
18489745_F1,poorly differentiated neuroendocrine carcinoma,retroperitoneal lymph nodes,Abdomen/Pelvis
18489745_F1,poorly differentiated neuroendocrine carcinoma,pelvic tumor,Abdomen/Pelvis
18489745_F1,poorly differentiated neuroendocrine carcinoma,supraclavicular lymph nodes,Abdomen/Pelvis
25688320_fig2,cuboid-navicular coalition,posterior medial process,cuboid
25688320_fig2,cuboid-navicular coalition,plantar lateral aspect,navicular
25667775_fig2,Basal Cell Carcinoma (BCC),,Nervous System
25667775_fig2,Squamous Cell Carcinoma (SCC),,Nervous System
18528525_fig1,Contrast-enhanced lesion,Para-nasal and cheek soft tissues; medially into nasal bone structures; posteriorly into left maxillary sinus and nasal fossa,Soft tissue
25688320_fig3,Edema,,Cuboid bone
25688320_fig3,Cystic change,,Cuboid bone
25688320_fig3,Edema,,Navicular bone
25667701_F0001,,Right lung,Lung
25667701_F0001,,Right lobe,Liver
25667775_fig3,perineural invasion,small branch,nerve
19183489_F1,right lower quadrant abscess,right lower quadrant,abdomen
19183489_F1,left lower quadrant abscess,left lower quadrant,abdomen
25688320_fig4,Cuboid-navicular coalition,within the cuboid and navicular bones,foot
25523232_Fig11,Ventricular Septal Defect,,Heart
25685588_fig3,,,
19183489_F2,bile duct stent,left lower quadrant,common bile duct
25934090_Fig1,Optic neuropathy,left,Optic nerve
