image_id,disease,location,organ
17506892_F1,Frontotemporal Dementia,FTLD,brain
17506892_F1,Semantic Dementia,,brain
17506892_F1,Progressive Non-Fluent Aphasia,,brain
17506892_F1,Progressive Supranuclear Palsy,,brain
17506892_F1,Corticobasal Degeneration,,brain
16734899_F4,cavitating lesion,right upper lobe,lung
16734899_F4,pleural involvement,right upper lobe,pleura
16734899_F4,hilar lymphadenopathy,right hilar region,lymphatic system
17506892_F3,hypoperfusion,regions,brain
18021452_F4,carcinoid tumor,subserosa,small bowel
16734910_F1,concha bellosa,middle meatus,nose
16734910_F1,ostiomeatal complex blockage,drainage pathways,nose
24768194_fig3,NPs,glomeruli,kidney
18627621_F2,cardiomegaly,enlarged heart,heart
18627621_F2,interstitial infiltrates,interstitial,lungs
18627621_F2,pleural effusion,right-sided,pleura
18021452_F5,carcinoid metastases,node,lymph node
16774682_F2,intraspinal dislocation,eighth rib head,rib
16774682_F2,intraspinal dislocation,neural foramen,spinal canal
24564961_F2,grey matter,grey matter,brain
19108034_F1,bronchial wall thickening,wall,lungs
19108034_F1,diffuse infiltration,infiltration,lungs
17999758_F8,liver steatosis,hepatocytes,liver
24564857_F9,dephasing effect,,cell
24564857_F9,susceptibility-weighted MR scan,,cell
24564857_F9,four-lobed clover pattern,four-lobed,cell
18784452_F1,effusion,left side,pleural
18784452_F1,pleural thickening,left side,pleural
18673510_F1,adipocytes,lipid droplet,bone marrow
16792809_F1,primary tumor,tumor,abdomen
24914775_pone-0098860-g005,electro-cortical stimulation,cortical,brain
18673510_F2,CAV,marrow,bone marrow
16792809_F3,tumor,area of interest,abdomen
24940083_f2-imcrj-7-093,edema,sacrum,sacrum
18651978_F1,adenohypophysis,empty,brain
18651978_F1,stomatodeum,empty,brain
18651978_F1,ganglion trigeminale,empty,brain
18651978_F1,diencephalon,empty,brain
16792809_F4,liver metastases,liver,liver
24932044_F2,heterogeneously hyperintense lesion,medial aspect,femoral condyle
18651978_F2,stomatodeum,empty,mouth
18651978_F2,adenohypophysis,empty,brain
18651978_F2,horizontal epithelial cones,empty,unknown
18651978_F2,marginal high-prismatic cells,empty,unknown
18489739_F1,tumor,head,pancreas
18489739_F1,tumor,,pancreas
24955277_fig2,fluid collections,,abdominal cavity
24955277_fig2,fluid collections,,mediastinum
24955277_fig2,fluid collections,,abdominal cavity
24955277_fig2,fluid collections,,mediastinum
24955277_fig2,fluid collections,,abdominal cavity
24955277_fig2,fluid collections,,mediastinum
24955277_fig2,fluid collections,mediastinum,retroperitoneum
25678909_jgc-12-01-088-g001,cardiomegaly,empty,heart
25678909_jgc-12-01-088-g001,calcification,descending aorta,aorta
25678909_jgc-12-01-088-g001,ascending aortic aneurysm,ascending,aorta
18651978_F5,adenohypophysis,cranial part,adenohypophysis
18651978_F5,neurohypophysis,primordial neurohypophysis,neurohypophysis
18651978_F5,3rd ventricle,,3rd ventricle
18474093_F1,mechanical bowel obstruction,empty,intestine
18474093_F1,metastatic disease,focal lesions,liver
25595849_Fig1,mass,C7 to T1,spinal cord
25678909_jgc-12-01-088-g002,calcifications,ascending aorta,aorta
25678909_jgc-12-01-088-g002,calcifications,arch of the aorta,aorta
25678909_jgc-12-01-088-g002,calcifications,,innominate artery
25678909_jgc-12-01-088-g002,calcification,,coronary artery
25561223_ijms-16-00660-f002,total lung inflammation,lung,lung
18489745_F1,poorly differentiated neuroendocrine carcinoma,unknown,unknown
25688320_fig2,cuboid-navicular coalition,plantar aspect,foot
25612575_Fig4,free air,mediastinum,mediastinal cavity
25667775_fig2,perineural invasion,glomeruli,kidney
25667775_fig2,perineural invasion,alveoli,lung
18528525_fig1,lesion,para-nasal,soft tissues
18528525_fig1,lesion,nasal fossa,maxillary sinus
18528525_fig1,lesion,nasal bone,maxillary sinus
18528525_fig1,lesion,,palatine prosthesis
